product_code,name,slug,url,parent_category,category,price_min_diamond,price_min_titanium,price_max,processing_time_days_from,processing_time_days_to,fulfil_location_codes,suppliers,option_labels,variant_combinations,image_count
1LWLP,Custom Shape 1-Layer Wooden Lapel Pin,custom-shape-1-layer-wooden-lapel-pin-1lwlp,https://printway.io/product/custom-shape-1-layer-wooden-lapel-pin-1lwlp,Accessories,Beauty Accessories,,,2.3,1,3,VN,Printway,Size|Color,10,8
1LWN,Custom Shape 1-Layer Wooden Necklace,custom-shape-1-layer-wooden-necklace-1lwn,https://printway.io/product/custom-shape-1-layer-wooden-necklace-1lwn,Accessories,Beauty Accessories,3.5,4,4,1,3,VN,Printway,Size|Color,4,10
2LWE,Custom Shape 2-Layer Wooden Earrings,custom-shape-2-layer-wooden-earrings-2lwe,https://printway.io/product/custom-shape-2-layer-wooden-earrings-2lwe,Accessories,Beauty Accessories,5.15,5.45,5.45,1,3,VN,Printway,Size|Title,8,8
CSADE,Custom Shape Acrylic Dangle Earrings,custom-shape-acrylic-dangle-earrings-csade,https://printway.io/product/custom-shape-acrylic-dangle-earrings-csade,Accessories,Beauty Accessories,5.15,5.45,5.45,1,3,VN,Printway,Size|Color|Style,32,10
ADEWC,Custom Shape Acrylic Dangle Earrings With Hanging Charms,custom-shape-acrylic-dangle-earrings-with-hanging-charms-adewc,https://printway.io/product/custom-shape-acrylic-dangle-earrings-with-hanging-charms-adewc,Accessories,Beauty Accessories,4.95,5.25,5.65,1,3,VN,Printway,Size|Style|Title,24,12
CSE2,Custom Shape Earrings,custom-shape-earrings-cse2,https://printway.io/product/custom-shape-earrings-cse2,Accessories,Beauty Accessories,5.2,5.5,5.5,1,3,VN,Printway,Material|Size|Style,24,13
CJB,Custom Square Jewelry Box,custom-square-jewelry-box-cjb,https://printway.io/product/custom-square-jewelry-box-cjb,Accessories,Beauty Accessories,5.24,5.74,5.74,1,3,VN,Printway,Color,11,15
DHP,Decorative Hanging Pendant,decorative-hanging-pendant-dhp,https://printway.io/product/decorative-hanging-pendant-dhp,Accessories,Beauty Accessories,3.65,3.95,4.95,1,3,VN,Printway,Style|Color,12,11
ENB,Engraved Bracelet,engraved-bracelet-enb,https://printway.io/product/engraved-bracelet-enb,Accessories,Beauty Accessories,,,5.99,1,3,VN,Printway,Color|Style,8,8
EHCC,Engraved Hair Claw Clip,engraved-hair-claw-clip-ehcc,https://printway.io/product/engraved-hair-claw-clip-ehcc,Accessories,Beauty Accessories,5.75,6.25,7,3,5,VN,Winfinity,Color|Style,18,10
PCL,Engraved Stainless Steel Cufflinks,engraved-stainless-steel-cufflinks-pcl,https://printway.io/product/engraved-stainless-steel-cufflinks-pcl,Accessories,Beauty Accessories,5.15,5.45,9.45,1,3,VN,Printway,Size|Color|Style,16,9
FEP,Fabric Embroidered Patch,fabric-embroidered-patch-fep,https://printway.io/product/fabric-embroidered-patch-fep,Accessories,Beauty Accessories,4.15,4.45,9.95,3,5,VN,GAL VN,Size|Style,14,15
FLMM,Foldable Leather Makeup Mirror,foldable-leather-makeup-mirror-flmm,https://printway.io/product/foldable-leather-makeup-mirror-flmm,Accessories,Beauty Accessories,9.74,10.24,10.24,3,5,CN,Dogeprint,Color,5,6
FPCJD,Full Printed Ceramic Jewelry Dish,full-printed-ceramic-jewelry-dish-fpcjd,https://printway.io/product/full-printed-ceramic-jewelry-dish-fpcjd,Accessories,Beauty Accessories,4.74,5.24,5.24,1,3,VN,Printway,Style,7,11
GTAC,Graduation Tassel With Custom Shape 1-Layer Acrylic Charm,graduation-tassel-with-custom-shape-1-layer-acrylic-charm-gtac,https://printway.io/product/graduation-tassel-with-custom-shape-1-layer-acrylic-charm-gtac,Accessories,Beauty Accessories,,,3.7,1,3,VN,Printway,Size|Style|Title,10,7
GTWC,Graduation Tassel With Custom Shape 1-Layer Wooden Charm,graduation-tassel-with-custom-shape-1-layer-wooden-charm-gtwc,https://printway.io/product/graduation-tassel-with-custom-shape-1-layer-wooden-charm-gtwc,Accessories,Beauty Accessories,,,3.7,1,3,VN,Printway,Size|Style|Title,10,7
JDWT,Jewelry Display With Tray,jewelry-display-with-tray-jdwt,https://printway.io/product/jewelry-display-with-tray-jdwt,Accessories,Beauty Accessories,12.49,13.49,14.49,1,3,VN,Printway,Material|Style|Size,2,6
LTBT,Leather Belt,leather-belt-ltbt,https://printway.io/product/leather-belt-ltbt,Accessories,Beauty Accessories,14.74,15.24,16.74,3,5,CN,Forudesigns,Color|Size,10,8
LJDLS,Led Jewelry Display Lamp Stand,led-jewelry-display-lamp-stand-ljdls,https://printway.io/product/led-jewelry-display-lamp-stand-ljdls,Accessories,Beauty Accessories,9.5,10.5,15,1,3,VN,Printway,Style|Size|Title,16,13
LSJD,Lotus Shape Jewelry Dish,lotus-shape-jewelry-dish-lsjd,https://printway.io/product/lotus-shape-jewelry-dish-lsjd,Accessories,Beauty Accessories,13.5,14,14,3,5,CN,Cjzesty,Style,6,11
MPM,Makeup Pocket Mirror,makeup-pocket-mirror-mpm,https://printway.io/product/makeup-pocket-mirror-mpm,Accessories,Beauty Accessories,12.5,13,17,3,5,CN,Cjzesty,Color|Style,15,8
PFLT,Personalized Faux Leather Tags,personalized-faux-leather-tags-pflt,https://printway.io/product/personalized-faux-leather-tags-pflt,Accessories,Beauty Accessories,,,8.95,1,3,VN,Printway,Color|Style,12,7
WDEWC,Wooden Dangle Earrings With Hanging Charms,wooden-dangle-earrings-with-hanging-charms-wdewc,https://printway.io/product/wooden-dangle-earrings-with-hanging-charms-wdewc,Accessories,Beauty Accessories,4.95,5.25,5.65,1,3,VN,Printway,Size|Style|Title,24,13
ABM,Acrylic Bookmark,acrylic-bookmark-abm,https://printway.io/product/acrylic-bookmark-abm,Accessories,Bookmarks,2.35,2.85,3.25,1,3,VN,Printway,Color|Size,60,10
BMP,Bookmark Photo,bookmark-photo-bmp,https://printway.io/product/bookmark-photo-bmp,Accessories,Bookmarks,,,3.74,1,3,VN,Printway,Material|Style|Size,1,9
1LHBWC,Custom Shape 1-Layer Hologram Acrylic Bookmark With Charm,custom-shape-1-layer-hologram-acrylic-bookmark-with-charm-1lhbwc,https://printway.io/product/custom-shape-1-layer-hologram-acrylic-bookmark-with-charm-1lhbwc,Accessories,Bookmarks,4.5,5,5,1,3,VN,Printway,Material|Size|Color,42,10
1LWBWC,Custom Shape 1-Layer Wooden Bookmark With Charm,custom-shape-1-layer-wooden-bookmark-with-charm-1lwbwc,https://printway.io/product/custom-shape-1-layer-wooden-bookmark-with-charm-1lwbwc,Accessories,Bookmarks,3.49,3.99,3.99,1,3,VN,Printway,Size|Color,45,9
CSAB,Custom Shape Aluminum Bookmark,custom-shape-aluminum-bookmark-csab,https://printway.io/product/custom-shape-aluminum-bookmark-csab,Accessories,Bookmarks,,,3.25,1,3,VN,Printway,Size,2,8
CSHBM,Custom Shape Hologram Bookmark,custom-shape-hologram-bookmark-cshbm,https://printway.io/product/custom-shape-hologram-bookmark-cshbm,Accessories,Bookmarks,,,3.4,1,3,VN,Printway,Material|Color|Size,168,13
LB,Leather Bookmark,leather-bookmark-lb,https://printway.io/product/leather-bookmark-lb,Accessories,Bookmarks,3.24,3.74,3.74,1,3,VN,Printway,Color|Style,10,6
LTMBM,Leather Magnetic Bookmark,leather-magnetic-bookmark-ltmbm,https://printway.io/product/leather-magnetic-bookmark-ltmbm,Accessories,Bookmarks,8.74,9.24,9.24,3,5,CN,Dogeprint,Color,8,8
LMBPC,Leather Magnetic Bookmark with Pen Clip,leather-magnetic-bookmark-with-pen-clip-lmbpc,https://printway.io/product/leather-magnetic-bookmark-with-pen-clip-lmbpc,Accessories,Bookmarks,9,9.5,9.5,3,5,CN,Cjzesty,Color,6,7
MLB,Magnetic Leather Bookmark,magnetic-leather-bookmark-mlb,https://printway.io/product/magnetic-leather-bookmark-mlb,Accessories,Bookmarks,4.24,4.74,4.99,1,3,VN,Printway,Color|Style|Title,48,7
WBM,Wooden Bookmark,wooden-bookmark-wbm,https://printway.io/product/wooden-bookmark-wbm,Accessories,Bookmarks,2.45,2.95,3.25,1,3,VN,Printway,Size|Color,44,11
CARC,Car Coasters,car-coasters-carc,https://printway.io/product/car-coasters-carc,Accessories,Car accessories,4.5,5,5,1,3,VN,Printway,Size,1,8
CSC,Car Seat Covers,car-seat-covers-csc,https://printway.io/product/car-seat-covers-csc,Accessories,Car accessories,26.5,27.5,27.5,3,5,CN,Relaxlines,Size,1,7
CAS,Car Sunshade,car-sunshade-cas,https://printway.io/product/car-sunshade-cas,Accessories,Car accessories,21.5,22.5,22.5,3,5,CN,Coco,Size,1,10
C1SVC,Custom 1 Layered Sun Visor Clip,custom-1-layered-sun-visor-clip-c1svc,https://printway.io/product/custom-1-layered-sun-visor-clip-c1svc,Accessories,Car accessories,2.45,2.95,4.7,1,3,VN|US,Pentifine|Pentifine VN|Printway,Material|Size,16,10
C1SVUS,Custom 1 Layered Sun Visor Clip - US,custom-1-layered-sun-visor-clip-us-c1svus,https://printway.io/product/custom-1-layered-sun-visor-clip-us-c1svus,Accessories,Car accessories,3.75,4.5,6.75,1,3,US,Pentifine,Material|Size,8,6
CSVC2L,Custom 2 Layered Sun Visor Clip,custom-2-layered-sun-visor-clip-csvc2l,https://printway.io/product/custom-2-layered-sun-visor-clip-csvc2l,Accessories,Car accessories,3.9,4.2,9.5,1,3,VN,Printway,Size|Style|Material,45,10
CSVC3L,Custom 3 Layered Sun Visor Clip,custom-3-layered-sun-visor-clip-csvc3l,https://printway.io/product/custom-3-layered-sun-visor-clip-csvc3l,Accessories,Car accessories,4.49,4.99,10.04,1,3,VN,Printway,Size|Style|Material,30,11
CSVC,Custom 4 Layered Sun Visor Clip,custom-4-layered-sun-visor-clip-csvc,https://printway.io/product/custom-4-layered-sun-visor-clip-csvc,Accessories,Car accessories,4.7,5.2,11.25,1,3,VN,Printway,Size|Style|Material,30,9
CSVC5L,Custom 5 Layered Sun Visor Clip,custom-5-layered-sun-visor-clip-csvc5l,https://printway.io/product/custom-5-layered-sun-visor-clip-csvc5l,Accessories,Car accessories,5.7,6.2,12.25,1,3,VN,Printway,Size|Style|Material,30,7
1LACSH,Custom Shape 1-Layer Acrylic Car Seat Headrest Hook,custom-shape-1-layer-acrylic-car-seat-headrest-hook-1lacsh,https://printway.io/product/custom-shape-1-layer-acrylic-car-seat-headrest-hook-1lacsh,Accessories,Car accessories,3.49,3.99,3.99,1,3,VN,Printway,Size,1,8
1LACVC,Custom Shape 1-Layer Acrylic Car Vent Clip,custom-shape-1-layer-acrylic-car-vent-clip-1lacvc,https://printway.io/product/custom-shape-1-layer-acrylic-car-vent-clip-1lacvc,Accessories,Car accessories,2,2.5,3.5,1,3,VN,Printway,Size,3,7
1LWCVC,Custom Shape 1-Layer Wooden Car Vent Clip,custom-shape-1-layer-wooden-car-vent-clip-1lwcvc,https://printway.io/product/custom-shape-1-layer-wooden-car-vent-clip-1lwcvc,Accessories,Car accessories,2,2.5,3.5,1,3,VN,Printway,Size,3,7
SCCSC,Custom Shape Acrylic Car Clip With Spinning Charm,custom-shape-acrylic-car-clip-with-spinning-charm-sccsc,https://printway.io/product/custom-shape-acrylic-car-clip-with-spinning-charm-sccsc,Accessories,Car accessories,4.05,4.35,4.85,1,3,VN,Printway,Size,4,9
CSCVC,Custom Shape Car Vent Clip,custom-shape-car-vent-clip-cscvc,https://printway.io/product/custom-shape-car-vent-clip-cscvc,Accessories,Car accessories,,,4.05,1,3,VN,Printway,Material|Size|Style,75,8
MCVPAP,Custom Shape Magnetic Car Visor Photo Clip With Acrylic Pieces,custom-shape-magnetic-car-visor-photo-clip-with-acrylic-pieces-mcvpap,https://printway.io/product/custom-shape-magnetic-car-visor-photo-clip-with-acrylic-pieces-mcvpap,Accessories,Car accessories,6,6.5,7.5,1,3,VN,Printway,Size,2,9
WCWSC,Custom Shape Wooden Car Clip With Spinning Charm,custom-shape-wooden-car-clip-with-spinning-charm-wcwsc,https://printway.io/product/custom-shape-wooden-car-clip-with-spinning-charm-wcwsc,Accessories,Car accessories,3.2,3.5,3.85,1,3,VN,Printway,Size,4,10
MCVPC,Magnetic Car Visor Photo Clip,magnetic-car-visor-photo-clip-mcvpc,https://printway.io/product/magnetic-car-visor-photo-clip-mcvpc,Accessories,Car accessories,3.49,3.99,5.49,1,3,VN,Printway,Material|Style|Size,9,13
MLSH,Magnetic Leather Sunglass Holder,magnetic-leather-sunglass-holder-mlsh,https://printway.io/product/magnetic-leather-sunglass-holder-mlsh,Accessories,Car accessories,5.75,6.25,6.75,1,3,VN,Printway,Color|Style,15,10
MLPFE,Metal License Plate Frame,metal-license-plate-frame-mlpfe,https://printway.io/product/metal-license-plate-frame-mlpfe,Accessories,Car accessories,11.24,11.74,11.74,3,5,CN,Dogeprint,Size,1,8
PRMCC,Personalized Rearview Mirror Car Charm,personalized-rearview-mirror-car-charm-prmcc,https://printway.io/product/personalized-rearview-mirror-car-charm-prmcc,Accessories,Car accessories,,,3.1,1,3,VN,Printway,Style|Title,2,9
SGWC,Steering Wheel Cover,steering-wheel-cover-sgwc,https://printway.io/product/steering-wheel-cover-sgwc,Accessories,Car accessories,10.24,10.74,10.74,3,5,CN,Dogeprint,Size,1,7
VAYP,Vanity Plate,vanity-plate-vayp,https://printway.io/product/vanity-plate-vayp,Accessories,Car accessories,12.04,12.54,12.54,3,5,CN,Dogeprint,Size,1,9
CCP,AOP Classic Cap,aop-classic-cap-ccp,https://printway.io/product/aop-classic-cap-ccp,Accessories,Hats,17,18,18,3,5,CN,Relaxlines,Size|Style,2,15
1LAMHC,Custom Shape 1-Layer Acrylic Magnetic Hat Clip,custom-shape-1-layer-acrylic-magnetic-hat-clip-1lamhc,https://printway.io/product/custom-shape-1-layer-acrylic-magnetic-hat-clip-1lamhc,Accessories,Hats,,,4.45,1,3,VN,Printway,Size|Color,2,7
ECWFTB,Embroidered Cap With Woven Floral Tapestry Brim,embroidered-cap-with-woven-floral-tapestry-brim-ecwftb,https://printway.io/product/embroidered-cap-with-woven-floral-tapestry-brim-ecwftb,Accessories,Hats,7.25,7.75,10.75,3,5,VN,Đại Phát Embroidery,Style,15,12
ECSP,Embroidered Cap with Striped & Polka Dot Brim,embroidered-cap-with-striped-and-polka-dot-brim-ecsp,https://printway.io/product/embroidered-cap-with-striped-and-polka-dot-brim-ecsp,Accessories,Hats,7.25,7.75,10.75,3,5,VN,Đại Phát Embroidery,Title|Style,120,10
ETC,Embroidered Trucker Cap,embroidered-trucker-cap-etc,https://printway.io/product/embroidered-trucker-cap-etc,Accessories,Hats,7.25,7.75,10.75,3,5,VN,Đại Phát Embroidery,Title|Style,240,12
ETBC,Embroidered Two-Tone Baseball Cap,embroidered-two-tone-baseball-cap-etbc,https://printway.io/product/embroidered-two-tone-baseball-cap-etbc,Accessories,Hats,7.25,7.75,11.75,3,5,VN,Đại Phát Embroidery,Title|Style,210,14
EMBWC,Embroidered Washed Cap,embroidered-washed-cap-embwc,https://printway.io/product/embroidered-washed-cap-embwc,Accessories,Hats,9.75,10.25,20.75,3,5,VN,Nestprint|Đại Phát Embroidery,Color|Style,132,12
EWMBC,Embroidered Washed Mesh Back Cap,embroidered-washed-mesh-back-cap-ewmbc,https://printway.io/product/embroidered-washed-mesh-back-cap-ewmbc,Accessories,Hats,7.25,7.75,8.75,3,5,VN,Đại Phát Embroidery,Title|Style,15,13
EDWC,Embroidery Washed Cap,embroidery-washed-cap-edwc,https://printway.io/product/embroidery-washed-cap-edwc,Accessories,Hats,7.25,7.75,11.75,3,5,VN,Đại Phát Embroidery,Color|Style,540,13
GCTP,Graduation Cap Topper,graduation-cap-topper-gctp,https://printway.io/product/graduation-cap-topper-gctp,Accessories,Hats,3.71,4.15,4.65,1,3,VN,Printway,Material|Size,6,9
LP7PTC,Leather Patch 7-Panel Trucker Cap,leather-patch-7-panel-trucker-cap-lp7ptc,https://printway.io/product/leather-patch-7-panel-trucker-cap-lp7ptc,Accessories,Hats,8,8.5,8.5,3,5,VN,Zenith,Title|Style,36,9
LPFBH,Leather Patch Flat Bill Snapback Hat,leather-patch-flat-bill-snapback-hat-lpfbh,https://printway.io/product/leather-patch-flat-bill-snapback-hat-lpfbh,Accessories,Hats,8,8.5,8.5,3,5,VN,Zenith,Title|Style,40,10
LPTC,Leather Patch Trucker Cap,leather-patch-trucker-cap-lptc,https://printway.io/product/leather-patch-trucker-cap-lptc,Accessories,Hats,8,8.5,8.5,3,5,VN,Zenith,Title|Style,16,8
LPRH,Leather Patch Trucker Hat,leather-patch-trucker-hat-lprh,https://printway.io/product/leather-patch-trucker-hat-lprh,Accessories,Hats,8,8.5,8.5,3,5,VN,Zenith,Title|Style,28,9
LPT5PC,Leather Patch Two Tone 5-Panel Cap,leather-patch-two-tone-5-panel-cap-lpt5pc,https://printway.io/product/leather-patch-two-tone-5-panel-cap-lpt5pc,Accessories,Hats,8,8.5,8.5,3,5,VN,Zenith,Title|Style,16,8
3LWAPK,3-Layer Wooden And Acrylic Photo Keychain,3-layer-wooden-and-acrylic-photo-keychain-3lwapk,https://printway.io/product/3-layer-wooden-and-acrylic-photo-keychain-3lwapk,Accessories,Keychains,,,3.75,1,3,VN,Printway,Size,1,8
3LWPKC,3-Layer Wooden Photo Keychain,3-layer-wooden-photo-keychain-3lwpkc,https://printway.io/product/3-layer-wooden-photo-keychain-3lwpkc,Accessories,Keychains,,,3.75,1,3,VN,Printway,Size,1,6
ALKC,Aluminium Keychain,aluminium-keychain-alkc,https://printway.io/product/aluminium-keychain-alkc,Accessories,Keychains,,,4.65,1,3,VN,Printway,Size|Title,4,12
C2LAKC,Custom 2 Layered Acrylic Keychain,custom-2-layered-acrylic-keychain-c2lakc,https://printway.io/product/custom-2-layered-acrylic-keychain-c2lakc,Accessories,Keychains,3.14,3.44,4.69,1,3,VN,Printway,Size|Color|Style,180,11
C2LWK,Custom 2 Layered Wooden Keychain,custom-2-layered-wooden-keychain-c2lwk,https://printway.io/product/custom-2-layered-wooden-keychain-c2lwk,Accessories,Keychains,4.14,4.44,4.44,1,3,VN,Printway,Size|Color|Style,60,7
CKKH,Custom Keychain Key Holder,custom-keychain-key-holder-ckkh,https://printway.io/product/custom-keychain-key-holder-ckkh,Accessories,Keychains,4.99,5.49,6.44,1,3,VN,Printway,Material|Style|Size,3,10
CMACDK,Custom Miniature Album CD Keychain,custom-miniature-album-cd-keychain-cmacdk,https://printway.io/product/custom-miniature-album-cd-keychain-cmacdk,Accessories,Keychains,3.49,3.99,3.99,1,3,VN,Printway,Material,2,7
CSNT,Custom Name Tag,custom-name-tag-csnt,https://printway.io/product/custom-name-tag-csnt,Accessories,Keychains,3.14,3.44,5.19,1,3,VN,Printway,Material|Size|Style,64,15
1LAKMAC,Custom Shape 1-Layer Acrylic Keychain With Mirror Acrylic Charms,custom-shape-1-layer-acrylic-keychain-with-mirror-acrylic-charms-1lakmac,https://printway.io/product/custom-shape-1-layer-acrylic-keychain-with-mirror-acrylic-charms-1lakmac,Accessories,Keychains,3,3.5,5.5,1,3,VN,Printway,Size|Color|Style,6,8
2LMAK,Custom Shape 2 Layer Mirror Acrylic Keychain,custom-shape-2-layer-mirror-acrylic-keychain-2lmak,https://printway.io/product/custom-shape-2-layer-mirror-acrylic-keychain-2lmak,Accessories,Keychains,3.95,4.25,4.25,1,3,VN,Printway,Size|Style|Title,6,8
CSLT,Custom Shape 2-3 Layers Tag,custom-shape-2-3-layers-tag-cslt,https://printway.io/product/custom-shape-2-3-layers-tag-cslt,Accessories,Keychains,1.95,2.25,6.75,1,3,VN,Printway,Size|Title|Material,96,13
3LABOK,Custom Shape 3-Layer Acrylic Bottle Opener Keychain,custom-shape-3-layer-acrylic-bottle-opener-keychain-3labok,https://printway.io/product/custom-shape-3-layer-acrylic-bottle-opener-keychain-3labok,Accessories,Keychains,3.49,3.99,3.99,1,3,VN,Printway,Size,1,7
3LAMK,Custom Shape 3-Layer Acrylic Maze Keychain,custom-shape-3-layer-acrylic-maze-keychain-3lamk,https://printway.io/product/custom-shape-3-layer-acrylic-maze-keychain-3lamk,Accessories,Keychains,3,3.5,4,1,3,VN,Printway,Size,2,7
3LARK,Custom Shape 3-Layer Acrylic Rotating Keychain,custom-shape-3-layer-acrylic-rotating-keychain-3lark,https://printway.io/product/custom-shape-3-layer-acrylic-rotating-keychain-3lark,Accessories,Keychains,5,5.5,5.5,1,3,VN,Printway,Size,1,7
3LASK,Custom Shape 3-Layer Acrylic Slider Keychain,custom-shape-3-layer-acrylic-slider-keychain-3lask,https://printway.io/product/custom-shape-3-layer-acrylic-slider-keychain-3lask,Accessories,Keychains,4.49,4.99,4.99,1,3,VN,Printway,Size|Style,1,8
CSWASK,Custom Shape 3-Layer Wooden And Acrylic Shaker Keychain,custom-shape-3-layer-wooden-and-acrylic-shaker-keychain-cswask,https://printway.io/product/custom-shape-3-layer-wooden-and-acrylic-shaker-keychain-cswask,Accessories,Keychains,,,3.5,1,3,VN,Printway,Size,1,8
4LWRK,Custom Shape 4-Layer Wooden Rotating Keychain,custom-shape-4-layer-wooden-rotating-keychain-4lwrk,https://printway.io/product/custom-shape-4-layer-wooden-rotating-keychain-4lwrk,Accessories,Keychains,5,5.5,5.5,1,3,VN,Printway,Size,2,8
CSAKC,Custom Shape Acrylic Keychain,custom-shape-acrylic-keychain-csakc,https://printway.io/product/custom-shape-acrylic-keychain-csakc,Accessories,Keychains,,,3.29,1,3,VN,Pentifine VN|Printway,Size|Title,8,12
AKWSC,Custom Shape Acrylic Keychain With Spinning Charm,custom-shape-acrylic-keychain-with-spinning-charm-akwsc,https://printway.io/product/custom-shape-acrylic-keychain-with-spinning-charm-akwsc,Accessories,Keychains,2.4,2.7,2.9,1,3,VN,Printway,Size|Style,4,11
CSAK,Custom Shape Aluminum Keychain,custom-shape-aluminum-keychain-csak,https://printway.io/product/custom-shape-aluminum-keychain-csak,Accessories,Keychains,,,3.5,1,3,VN,Printway,Size|Style,4,11
CSBR,Custom Shape Badge Reel,custom-shape-badge-reel-csbr,https://printway.io/product/custom-shape-badge-reel-csbr,Accessories,Keychains,,,2.75,1,3,VN,Printway,Material|Style|Size,12,10
CSBRUS,Custom Shape Badge Reel - US,custom-shape-badge-reel-us-csbrus,https://printway.io/product/custom-shape-badge-reel-us-csbrus,Accessories,Keychains,3.15,3.65,3.65,3,4,US,Pentifine,Material|Style|Size,6,11
CSBC,Custom Shape Bag Chain,custom-shape-bag-chain-csbc,https://printway.io/product/custom-shape-bag-chain-csbc,Accessories,Keychains,3.74,4.24,4.74,1,3,VN,Printway,Material|Size|Style,12,9
EMBKC,Custom Shape Embroidered Keychain,custom-shape-embroidered-keychain-embkc,https://printway.io/product/custom-shape-embroidered-keychain-embkc,Accessories,Keychains,5.25,5.75,9.25,3,5,VN,Đại Phát Embroidery,Size|Style|Title,496,14
CSHK,Custom Shape Hologram Keychain,custom-shape-hologram-keychain-cshk,https://printway.io/product/custom-shape-hologram-keychain-cshk,Accessories,Keychains,,,3.3,1,3,VN,Printway,Material|Style|Size,6,8
CSKCUS,Custom Shape Keychain - US,custom-shape-keychain-us-cskcus,https://printway.io/product/custom-shape-keychain-us-cskcus,Accessories,Keychains,2.75,3.5,6.38,1,3,US,Pentifine,Material|Size|Title,12,7
CSKWC,Custom Shape Keychain With Charm,custom-shape-keychain-with-charm-cskwc,https://printway.io/product/custom-shape-keychain-with-charm-cskwc,Accessories,Keychains,0.01,0.01,7.99,1,3,VN,Printway,Material|Style|Size,60,13
CSRWBC,Custom Shape Rotating Wooden Bag Chain,custom-shape-rotating-wooden-bag-chain-csrwbc,https://printway.io/product/custom-shape-rotating-wooden-bag-chain-csrwbc,Accessories,Keychains,4.75,5.25,8.75,1,3,VN,Printway,Title|Size|Style,16,8
CSWKC,Custom Shape Wooden Keychain,custom-shape-wooden-keychain-cswkc,https://printway.io/product/custom-shape-wooden-keychain-cswkc,Accessories,Keychains,,,2.65,1,3,VN,Pentifine VN|Printway,Size|Title,6,10
WKSC,Custom Shape Wooden Keychain With Spinning Charm,custom-shape-wooden-keychain-with-spinning-charm-wksc,https://printway.io/product/custom-shape-wooden-keychain-with-spinning-charm-wksc,Accessories,Keychains,,,2.75,1,3,VN,Printway,Size|Style,4,9
